secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,35,0.487082,2710.214,77.57113,0.033783,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,30,0.468547,2753.67,60.66992,0.033506,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,55,0.56593,2525.009,173.0419,0.037154,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,25,0.450115,2797.807,45.92641,0.033728,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,20,0.431393,2843.989,33.13131,0.033883,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,15,0.413487,2896.083,22.22286,0.032684,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,10,0.399598,2964.917,13.15538,0.030199,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-10,0.798751,1946.867,30.41805,0.058497,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-15,0.769135,2073.513,48.24422,0.055366,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,75,0.662459,2278.247,344.343,0.046099,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-20,0.737258,2176.937,66.57248,0.054077,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-25,0.703676,2265.397,84.94578,0.052151,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-30,0.671234,2342.158,103.4293,0.04831,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-35,0.64258,2409.587,122.5235,0.043748,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-40,0.617682,2470.169,142.571,0.040199,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
108105,27-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-45,0.594951,2525.865,163.5541,0.037938,0.01,0.03,0.03,0.02,0.11,0.25,0.3,0.41,0.6,0.72,1.29,2541.47
